time [ps]	intensity [W]	phase [rad]
3.4133667	0.38081457	29.850946
3.4293919	0.21197701	30.255129
3.4454171	0.17669119	30.770201
3.4614423	0.20858854	31.162098
3.4774675	0.235343	31.410104
3.4934927	0.21228575	31.615951
3.5095179	0.14464289	31.895657
3.5255431	0.085828023	32.440564
3.5415683	0.10272843	33.23677
3.5575935	0.22215255	33.731645
3.5736187	0.39712236	33.971081
3.5896439	0.52685978	34.112532
3.6056691	0.52424929	34.219401
3.6216943	0.38157627	34.325267
3.6377195	0.18100971	34.477341
3.6537447	0.0388765	34.904064
3.6697699	0.026359849	36.576004
3.6857951	0.12693565	37.119266
3.7018203	0.25856755	37.269647
3.7178455	0.33665851	37.345861
3.7338706	0.32663229	37.394276
3.7498958	0.25158062	37.426169
3.765921	0.16064596	37.442351
3.7819462	0.091362101	37.437312
3.7979714	0.054544448	37.405643
3.8139966	0.044316829	37.364621
3.8300218	0.054885328	37.351625
3.846047	0.086228174	37.367218
3.8620722	0.13717848	37.387292
3.8780974	0.19778685	37.397936
3.8941226	0.251259	37.394877
3.9101478	0.28378746	37.378086
3.926173	0.29225919	37.351363
3.9421982	0.28306981	37.324408
3.9582234	0.26481262	37.313716
3.9742486	0.24247271	37.339018
3.9902738	0.21697203	37.416414
4.006299	0.18770255	37.553971
4.0223242	0.15452484	37.754018
4.0383494	0.11903145	38.022099
4.0543746	0.086141548	38.378118
4.0703998	0.063990355	38.847438
4.086425	0.058584406	39.381767
