wavelength [nm]	Intensity [pJ/nm]	Phase [rad]
1759.4902	1.0157402E-30	-9.6014868
1760.7496	2.0060076E-32	-10.995574
1762.0109	4.1064304E-31	-9.5354352
1763.274	1.1451534E-30	-9.5573295
1764.5389	1.2234083E-30	-8.3176292
1765.8056	1.2216536E-30	-10.531927
1767.0742	1.95433E-31	-8.9254312
1768.3445	1.8408954E-30	-10.566796
1769.6167	1.4658829E-30	-9.5707902
1770.8907	1.1154928E-32	-10.995574
1772.1666	1.5349985E-30	-10.320833
1773.4443	1.3251613E-30	-10.873113
1774.7238	6.0840554E-31	-8.7992929
1776.0052	1.6318841E-30	-10.773925
1777.2885	2.854828E-30	-10.268932
1778.5736	1.1120203E-30	-9.7991116
1779.8605	1.850279E-30	-8.8224906
1781.1493	9.6798491E-31	-8.645669
1782.44	1.3555568E-30	-9.9961154
1783.7326	3.5305808E-31	-7.8539816
1785.027	1.805427E-31	-6.448334
1786.3233	6.3341888E-32	-4.1243864
1787.6215	7.9792209E-31	-5.6084444
1788.9216	1.3032415E-30	-5.7375303
1790.2236	3.9295087E-31	-4.712389
1791.5275	3.8753491E-32	-7.0685835
1792.8333	8.7673029E-31	-4.1656001
1794.1409	1.29567E-30	-4.9277467
1795.4505	4.4613125E-31	-6.1265834
1796.762	3.1906014E-32	-8.9176795
1798.0755	1.9963232E-30	-11.106232
1799.3908	9.0816706E-31	-12.094593
1800.7081	8.022497E-31	-10.14179
1802.0273	6.3798768E-31	-9.3380396
1803.3484	8.9044028E-31	-10.848496
1804.6715	2.3899236E-31	-9.9833773
1805.9965	7.7461759E-32	-7.3348355
1807.3235	5.0573727E-31	-9.0262555
1808.6524	1.0079093E-30	-10.788078
1809.9832	3.4407783E-32	-12.946877
1811.3161	2.6562383E-30	-10.064055
1812.6509	3.1822314E-31	-11.65127
1813.9876	1.0961933E-30	-10.590683
1815.3264	5.8975058E-31	-11.175428
1816.6671	4.1928286E-31	-12.007771
1818.0098	8.9671663E-32	-9.8371884
1819.3545	3.0061672E-31	-12.566371
1820.7011	9.1927732E-31	-12.566371
1822.0498	3.1846098E-31	-14.382146
1823.4005	8.7169417E-32	-16.093846
1824.7531	7.4710138E-32	-18.849556
1826.1078	3.7299667E-31	-18.385908
1827.4645	5.9590889E-31	-21.20575
1828.8232	5.9502377E-31	-21.20575
1830.184	2.9706965E-31	-23.561945
1831.5467	2.9662775E-31	-25.132741
1832.9115	7.4046543E-32	-26.703538
1834.2783	4.7504029E-30	-25.070322
1835.6472	1.2100543E-30	-22.146145
1837.0181	1.493034E-30	-19.325625
1838.3911	7.3605791E-32	-20.420352
